t,deaths,cases,cases_cum,nCFR,cases_adj,cases_adj_cum,date
440,4111,73494,9380056,0.05593653903720031,685166.6666666666,59463500.0,2021-03-15
441,3085,53809,9433865,0.057332416510249215,514166.6666666666,59977666.666666664,2021-03-16
442,3032,51813,9485678,0.058518132515005886,505333.3333333333,60483000.0,2021-03-17
443,3260,55432,9541110,0.0588107952085438,543333.3333333334,61026333.333333336,2021-03-18
444,3190,59443,9600553,0.053664855407701495,531666.6666666666,61558000.0,2021-03-19
445,4097,63137,9663690,0.06489063465163059,682833.3333333334,62240833.333333336,2021-03-20
446,2623,44418,9708108,0.059052636318609575,437166.6666666667,62678000.0,2021-03-21
447,2922,58818,9766926,0.049678669794960724,487000.0,63165000.0,2021-03-22
448,2730,48025,9814951,0.05684539302446642,455000.0,63620000.0,2021-03-23
449,2522,44140,9859091,0.05713638423198913,420333.3333333333,64040333.333333336,2021-03-24
450,2977,49885,9908976,0.05967725769269319,496166.6666666666,64536500.0,2021-03-25
451,2571,48749,9957725,0.05273954337524872,428500.0,64965000.0,2021-03-26
452,2256,39211,9996936,0.0575348754176124,376000.0,65341000.0,2021-03-27
453,2391,37837,10034773,0.06319211353965695,398500.0,65739500.0,2021-03-28
454,2299,43275,10078048,0.05312536106296938,383166.6666666667,66122666.666666664,2021-03-29
455,2279,36838,10114886,0.06186546500895814,379833.3333333333,66502500.0,2021-03-30
456,2007,35639,10150525,0.05631471141165577,334500.0,66837000.0,2021-03-31
457,3572,55322,10205847,0.0645674415241676,595333.3333333334,67432333.33333333,2021-04-01
458,2222,39818,10245665,0.05580390778040083,370333.3333333333,67802666.66666666,2021-04-02
459,2071,37917,10283582,0.05461930005010945,345166.6666666667,68147833.33333333,2021-04-03
