t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
269,86,359,107318,0.2395543175487465,14333.333333333334,5771833.333333333,2020-09-25
270,81,277,107595,0.2924187725631769,13500.0,5785333.333333333,2020-09-26
271,59,266,107861,0.22180451127819548,9833.333333333334,5795166.666666666,2020-09-27
272,72,323,108184,0.22291021671826625,12000.0,5807166.666666666,2020-09-28
273,80,291,108475,0.27491408934707906,13333.333333333334,5820499.999999999,2020-09-29
274,95,311,108786,0.3054662379421222,15833.333333333332,5836333.333333332,2020-09-30
275,137,457,109243,0.29978118161925604,22833.333333333332,5859166.666666665,2020-10-01
276,101,297,109540,0.3400673400673401,16833.333333333332,5875999.999999998,2020-10-02
277,72,252,109792,0.2857142857142857,12000.0,5887999.999999998,2020-10-03
278,71,257,110049,0.27626459143968873,11833.333333333334,5899833.333333331,2020-10-04
279,86,301,110350,0.2857142857142857,14333.333333333334,5914166.666666664,2020-10-05
280,92,290,110640,0.31724137931034485,15333.333333333332,5929499.999999997,2020-10-06
281,78,263,110903,0.2965779467680608,13000.0,5942499.999999997,2020-10-07
282,78,260,111163,0.3,13000.0,5955499.999999997,2020-10-08
283,77,293,111456,0.2627986348122867,12833.333333333334,5968333.33333333,2020-10-09
284,106,393,111849,0.2697201017811705,17666.666666666668,5985999.999999997,2020-10-10
285,68,239,112088,0.28451882845188287,11333.333333333334,5997333.33333333,2020-10-11
286,69,261,112349,0.26436781609195403,11500.0,6008833.33333333,2020-10-12
287,66,291,112640,0.2268041237113402,11000.0,6019833.33333333,2020-10-13
288,66,275,112915,0.24,11000.0,6030833.33333333,2020-10-14
289,80,335,113250,0.23880597014925373,13333.333333333334,6044166.666666663,2020-10-15
290,78,295,113545,0.26440677966101694,13000.0,6057166.666666663,2020-10-16
291,65,250,113795,0.26,10833.333333333334,6067999.999999996,2020-10-17
292,71,284,114079,0.25,11833.333333333334,6079833.333333329,2020-10-18
293,78,274,114353,0.2846715328467153,13000.0,6092833.333333329,2020-10-19
294,101,382,114735,0.2643979057591623,16833.333333333332,6109666.666666662,2020-10-20
295,63,262,114997,0.24045801526717558,10500.0,6120166.666666662,2020-10-21
296,70,287,115284,0.24390243902439024,11666.666666666666,6131833.333333329,2020-10-22
297,81,301,115585,0.2691029900332226,13500.0,6145333.333333329,2020-10-23
298,72,263,115848,0.2737642585551331,12000.0,6157333.333333329,2020-10-24
299,77,312,116160,0.2467948717948718,12833.333333333334,6170166.666666662,2020-10-25
300,65,325,116485,0.2,10833.333333333334,6180999.999999995,2020-10-26
301,72,318,116803,0.22641509433962265,12000.0,6192999.999999995,2020-10-27
302,93,334,117137,0.27844311377245506,15500.0,6208499.999999995,2020-10-28
303,80,306,117443,0.26143790849673204,13333.333333333334,6221833.333333328,2020-10-29
304,88,365,117808,0.2410958904109589,14666.666666666666,6236499.999999995,2020-10-30
305,79,276,118084,0.286231884057971,13166.666666666666,6249666.666666662,2020-10-31
306,123,548,118632,0.22445255474452555,20500.0,6270166.666666662,2020-11-01
307,94,388,119020,0.2422680412371134,15666.666666666666,6285833.333333329,2020-11-02
308,87,361,119381,0.2409972299168975,14500.0,6300333.333333329,2020-11-03
309,82,451,119832,0.18181818181818182,13666.666666666666,6313999.999999996,2020-11-04
310,105,492,120324,0.21341463414634146,17500.0,6331499.999999996,2020-11-05
311,133,532,120856,0.25,22166.666666666668,6353666.666666663,2020-11-06
312,124,466,121322,0.26609442060085836,20666.666666666668,6374333.33333333,2020-11-07
313,126,500,121822,0.252,21000.0,6395333.33333333,2020-11-08
314,138,575,122397,0.24,23000.0,6418333.33333333,2020-11-09
315,162,617,123014,0.2625607779578606,27000.0,6445333.33333333,2020-11-10
316,112,538,123552,0.20817843866171004,18666.666666666668,6463999.999999997,2020-11-11
317,112,529,124081,0.21172022684310018,18666.666666666668,6482666.666666664,2020-11-12
318,116,563,124644,0.20603907637655416,19333.333333333332,6501999.999999997,2020-11-13
319,130,554,125198,0.23465703971119134,21666.666666666668,6523666.666666664,2020-11-14
320,160,674,125872,0.23738872403560832,26666.666666666668,6550333.333333331,2020-11-15
